url	first_seen	portal	title	company	status
https://job-boards.greenhouse.io/springhealth66/jobs/4663711005	2026-04-11	Greenhouse — Senior PM Healthcare AI	Senior Product Manager, AI & ML Platform	Spring Health	added
https://job-boards.greenhouse.io/springhealth66/jobs/4661125005	2026-04-11	Greenhouse — Senior PM Healthcare AI	Senior Product Manager, Workplace Care	Spring Health	added
https://job-boards.greenhouse.io/mavenclinic/jobs/8315626002	2026-04-11	Greenhouse — Director Head of Product Health	Senior Director, Product, Healthcare	Maven Clinic	added
https://job-boards.greenhouse.io/natera/jobs/5850674004	2026-04-11	Greenhouse — Senior PM Healthcare AI	Sr. Product Manager - AI & Data	Natera	added
https://job-boards.greenhouse.io/mcghealth/jobs/8488415002	2026-04-11	Greenhouse — Healthcare AI PM	Senior Product Manager	MCG Health	added
https://job-boards.greenhouse.io/healthie/jobs/4597301005	2026-04-11	Greenhouse — Healthcare AI PM	Senior Product Manager, AI Initiatives	Healthie	added
https://boards.greenhouse.io/iterativehealth/jobs/4006111006	2026-04-11	Greenhouse — Healthcare AI PM	Senior Product Manager - Data Foundations	Iterative Health	added
https://job-boards.greenhouse.io/jobsatphamily/jobs/4750261008	2026-04-11	Greenhouse — Healthcare AI PM	Senior Product Manager (AI Health-Tech SaaS, Remote)	Phamily	added
https://job-boards.greenhouse.io/webchartnow/jobs/4181050009	2026-04-11	Greenhouse — Senior PM Healthcare AI	Senior Product Manager – Enterprise Health (Clinical Domain)	WebChart / Enterprise Health	added
https://job-boards.greenhouse.io/omadahealth/jobs/7402427	2026-04-11	Greenhouse API — Omada Health	Director, Product Management	Omada Health	added
https://job-boards.greenhouse.io/coherehealth/jobs/7655330003	2026-04-11	Greenhouse API — Cohere Health	Manager, Product Management	Cohere Health	added
https://job-boards.greenhouse.io/recursionpharmaceuticals/jobs/7488023	2026-04-11	Greenhouse API — Recursion	Staff Product Manager, Agentic Systems	Recursion Pharmaceuticals	added
https://flatiron.com/careers/open-positions/job?gh_jid=7760291	2026-04-11	Greenhouse API — Flatiron Health	Product Manager - Document Intelligence Platform	Flatiron Health	added
https://job-boards.greenhouse.io/1uphealth/jobs/4576352006	2026-04-11	Greenhouse — Director Head of Product Health	VP, Product	1upHealth	added
https://job-boards.greenhouse.io/modernhealth/jobs/7485558002	2026-04-11	Greenhouse — Director Head of Product Health	Vice President of Product Management	Modern Health	added
https://boards.greenhouse.io/samsungresearchamerica/jobs/7584774002	2026-04-11	Greenhouse — Director Head of Product Health	Director, Product Management, Digital Health	Samsung Research America	added
